Brand ID,Brand Name,Brand Logo
MZ_BRAND_0000007704,Breeze Thru Car Wash,static/brandLogo/BTCW_logo_primary_outline_4c_digital_N2VDsqK.png
MZ_BRAND_0000007776,Fins Car Wash,static/brandLogo/Fins_Car_Wash_VySXZwC.png
MZ_BRAND_0000005506,The Flame Broiler,static/brandLogo/The_Flame_Broiler.png
MZ_BRAND_0000007905,Country Waffles,static/brandLogo/Country_Waffles_NBIOIRj.webp
MZ_BRAND_0000006644,Popbar,static/brandLogo/Popbar.png
MZ_BRAND_0000005366,Taco Bueno,static/brandLogo/Taco_Bueno.png
MZ_BRAND_0000005526,The Halal Guys,static/brandLogo/Thr_Halal_Guys.png
MZ_BRAND_0000006115,Winchell's Donut House,static/brandLogo/Winchells_Donut_House.jpeg
MZ_BRAND_0000006446,sweetFrog Premium Frozen Yogurt,static/brandLogo/sweetFrog_Premium_Frozen_Yogurt.png
MZ_BRAND_0000007547,Scoville Hot Chicken,static/brandLogo/Scoville_Hot_Chicken.png
MZ_BRAND_0000004593,Reeds Jewelers,static/brandLogo/Reeds_Jewelers.png
MZ_BRAND_0000004684,Rocket Fizz,static/brandLogo/Rocket_Fizz.png
MZ_BRAND_0000000240,American Eagle Outfitters,static/brandLogo/logo-american-eagle-logo-vector_o9QSIs7.png
MZ_BRAND_0000007589,Finish Line Car Wash,static/brandLogo/FinishLineCarWashLogo_Fnz1JnX.png
MZ_BRAND_0000000372,Athleta,static/brandLogo/Athleta.png
MZ_BRAND_0000006359,UNIQLO,static/brandLogo/UNIQLO.png
MZ_BRAND_0000000048,A&W Restaurants,static/brandLogo/AW_Restaurants.png
MZ_BRAND_0000001833,Emerald City Smoothie,static/brandLogo/Emerald_City_Smoothie.png
MZ_BRAND_0000003422,MAACO,static/brandLogo/MAACO.png
MZ_BRAND_0000005355,Sweeto Burrito,static/brandLogo/Sweeto_Burrito.png
MZ_BRAND_0000003242,Lebanese Taverna,static/brandLogo/lebanese-taverna-big_VBy0ikd.jpg
MZ_BRAND_0000007141,Duluth Trading Company,static/brandLogo/Duluth_Trading_Company.png
MZ_BRAND_0000004259,Pier 1 Imports,static/brandLogo/Pier_1_Imports.png
MZ_BRAND_0000006730,Mrs. Fields,static/brandLogo/Mrs._Fields.png
MZ_BRAND_0000004097,Papa Gino's,static/brandLogo/Papa_Ginos.png
MZ_BRAND_0000000080,Academy Sports + Outdoors,static/brandLogo/Academy_Sports__Outdoors.png
MZ_BRAND_0000000793,Bowlero,static/brandLogo/Bowlero.png
MZ_BRAND_0000004686,Rockin' Jump,static/brandLogo/Rockin_Jump.png
MZ_BRAND_0000007792,Whatta Wash,static/brandLogo/Whatta_Wash_Logo_a16cusj.webp
MZ_BRAND_0000000772,Bosley,static/brandLogo/Bosley.png
MZ_BRAND_0000000088,Ace Hardware,static/brandLogo/Ace_Hardware.png
MZ_BRAND_0000001453,Crate and Barrel,static/brandLogo/Crate_and_Barrel.png
